regulator	target	beta.sign.sum	beta.non.zero	var.exp.median	combined_confidences	prior
BSU25760	BSU19490	20.0	20.0	0.94854999948447449	0.99927379406672667	1
BSU12560	BSU12749	20.0	20.0	0.92768462641378602	0.99927281244205346	0
BSU10420	BSU24710	20.0	20.0	0.93505378062328248	0.99926996573050109	1
BSU10420	BSU24700	20.0	20.0	0.93038524026523239	0.99926800248115455	1
BSU10560	BSU10520	20.0	20.0	0.93092854185554297	0.99926594106934075	1
BSU04160	BSU03981	20.0	20.0	0.92233196021346664	0.99926250538298433	1
BSU02740	BSU02750	20.0	20.0	0.92520256436306791	0.99926113110844172	1
BSU10420	BSU25590	20.0	20.0	0.93783376939000596	0.9992574009346834	1
BSU12560	BSU12740	20.0	20.0	0.92676246279960195	0.99925583033520615	0
BSU25760	BSU09958	20.0	20.0	0.92325748352115711	0.9992515111866439	1
BSU23520	BSU33290	-20.0	20.0	0.92849119107740541	0.99924895896249344	-1
BSU23520	BSU32010	-20.0	20.0	0.92404488843402821	0.99924297105198656	-1
BSU12560	BSU12672	20.0	20.0	0.92054098362353098	0.99923816109108765	0
BSU12000	BSU12020	20.0	20.0	0.92276700134618839	0.99923688497901242	1
BSU15330	BSU02080	20.0	20.0	0.92832148649846347	0.9992327621553847	1
